"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"805","STEGMEIER_PREMITOTIC_CELL_CYCLE_REGULATORS",1,1,0,11,"","MM909_17"
"806","WAESCH_ANAPHASE_PROMOTING_COMPLEX",1,1,0,13,"","MM909_17"
"807","WP_PARKIN_UBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY",1,1,0,71,"","MM909_17"
"808","YU_BAP1_TARGETS",1,1,0,29,"","MM909_17"
"809","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION",1.33205750630265e-18,1.34537808136568e-16,10,828,"ENSG00000012048, ENSG00000109670, ENSG00000085382, ENSG00000103657, ENSG00000153561, ENSG00000157450, ENSG00000146414, ENSG00000234127, ENSG00000182670, ENSG00000024048","MM909_20"
"810","GOBP_PROTEIN_POLYUBIQUITINATION",2.31403508628369e-10,1.16858771857326e-08,5,225,"ENSG00000012048, ENSG00000085382, ENSG00000153561, ENSG00000146414, ENSG00000182670","MM909_20"
"811","GOCC_UBIQUITIN_LIGASE_COMPLEX",1.19321585379386e-09,4.01716004110601e-08,5,312,"ENSG00000012048, ENSG00000189186, ENSG00000109670, ENSG00000153561, ENSG00000024048","MM909_20"
"812","GOBP_POSITIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",7.81290985834757e-07,1.97275973923276e-05,3,109,"ENSG00000012048, ENSG00000109670, ENSG00000157450","MM909_20"
"813","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",1.42330913680829e-06,2.87508445635274e-05,3,133,"ENSG00000012048, ENSG00000109670, ENSG00000103657","MM909_20"
"814","GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION",4.77420404341468e-06,8.03657680641471e-05,3,199,"ENSG00000012048, ENSG00000109670, ENSG00000157450","MM909_20"
"815","PROTEIN_UBIQUITINATION",2.08068372816741e-05,0.000300212937921297,2,40,"ENSG00000012048, ENSG00000109670","MM909_20"
